 0.16882E+03 0.16067E+02 0.00000E+00   126000     5212    6       98 0.580E+00
   4    0.11886E+03    0.14727E+02    0.15673E+02    0.95873E+05
   5    0.16201E+03    0.15290E+02    0.16883E+02    0.18193E+06
   6    0.17650E+03    0.77122E+01    0.11054E+02    0.18018E+06
