 0.61576E+02 0.00000E+00 0.29031E+00  2040000   100000    9     8900 0.145E+03
   7    0.61331E+02    0.50818E+00    0.59289E+01    0.31150E+05
   8    0.61631E+02    0.35808E+00    0.58794E+01    0.24056E+05
   9    0.63985E+02    0.22632E+01    0.25310E+02    0.11376E+07
