 0.39559E+03 0.17706E+01 0.00000E+00  2040000   100000    8     8162 0.206E+02
   6    0.39852E+03    0.47556E+01    0.60378E+01    0.19857E+06
   7    0.39658E+03    0.33192E+01    0.59889E+01    0.14390E+06
   8    0.39437E+03    0.23313E+01    0.59819E+01    0.14805E+06
