 0.98628E+02 0.00000E+00 0.45947E+00  2040000    99265    8    10322 0.105E+03
   6    0.99211E+02    0.13899E+01    0.70883E+01    0.16484E+06
   7    0.98425E+02    0.85731E+00    0.62326E+01    0.53870E+05
   8    0.98617E+02    0.59145E+00    0.60690E+01    0.46105E+05
