 0.11405E+06 0.97754E+03 0.00000E+00   372000    31458    5     1573 0.138E-01
   3    0.11446E+06    0.33730E+04    0.64563E+01    0.85658E+08
   4    0.11456E+06    0.17702E+04    0.47877E+01    0.43199E+08
   5    0.11373E+06    0.12505E+04    0.48179E+01    0.84025E+08
