 0.31567E+09 0.38740E+07 0.00000E+00   372000    29264    5     1519 0.481E-05
   3    0.30698E+09    0.89379E+07    0.63789E+01    0.15877E+12
   4    0.32489E+09    0.64449E+07    0.61463E+01    0.21367E+12
   5    0.31380E+09    0.37381E+07    0.52197E+01    0.11274E+12
