 0.31713E+09 0.00000E+00 0.15018E+07  3060000   100000    8     3502 0.110E-04
   6    0.31708E+09    0.28821E+07    0.56326E+01    0.21111E+12
   7    0.32225E+09    0.33806E+07    0.91934E+01    0.18649E+13
   8    0.31602E+09    0.15558E+07    0.61015E+01    0.96915E+12
