 0.14550E-12 0.00000E+00 0.61750E-15  2032086   100000    8    11764 0.809E+17
   6    0.14500E-12    0.14375E-14    0.50161E+01    0.62329E-10
   7    0.14581E-12    0.10205E-14    0.50080E+01    0.63909E-10
   8    0.14544E-12    0.92120E-15    0.64092E+01    0.54850E-09
