 0.24029E+03 0.00000E+00 0.14659E+01  2040000    59582    8     5670 0.236E+02
   6    0.24100E+03    0.40348E+01    0.84707E+01    0.26965E+06
   7    0.24110E+03    0.26981E+01    0.80077E+01    0.23140E+06
   8    0.23971E+03    0.19368E+01    0.81761E+01    0.27826E+06
