 0.12600E+03 0.00000E+00 0.83611E+00  2040000    58620    8     6285 0.499E+02
   6    0.12889E+03    0.17538E+01    0.68848E+01    0.87317E+05
   7    0.12535E+03    0.13195E+01    0.75323E+01    0.33527E+06
   8    0.12557E+03    0.84345E+00    0.67972E+01    0.84477E+05
