 0.27844E+04 0.00000E+00 0.31923E+02  2040000    54299    8     5038 0.181E+01
   6    0.29061E+04    0.58698E+02    0.10220E+02    0.53899E+07
   7    0.27693E+04    0.36046E+02    0.93139E+01    0.37810E+07
   8    0.27649E+04    0.26731E+02    0.97835E+01    0.56130E+07
