 0.44632E+03 0.00000E+00 0.29047E+01  2040000    55639    8     4066 0.911E+01
   6    0.45360E+03    0.78614E+01    0.87689E+01    0.48875E+06
   7    0.44844E+03    0.57161E+01    0.91206E+01    0.96396E+06
   8    0.44367E+03    0.37331E+01    0.85145E+01    0.72002E+06
