 0.25019E+12 0.10595E+10 0.00000E+00   510000    57677    8    14685 0.587E-07
   6    0.24914E+12    0.24925E+10    0.25310E+01    0.24521E+14
   7    0.25441E+12    0.37618E+10    0.52900E+01    0.42752E+15
   8    0.24998E+12    0.12316E+10    0.24928E+01    0.52195E+14
