 0.24723E+12 0.93518E+09 0.00000E+00  1022000   100000    9    19025 0.770E-07
   7    0.24854E+12    0.18402E+10    0.26489E+01    0.41187E+14
   8    0.24895E+12    0.13578E+10    0.27595E+01    0.11661E+15
   9    0.24613E+12    0.90411E+09    0.26284E+01    0.13297E+15
