 0.25005E+12 0.21312E+10 0.00000E+00   126000    14351    6     2140 0.856E-08
   4    0.24588E+12    0.63693E+10    0.32766E+01    0.22685E+14
   5    0.25468E+12    0.43534E+10    0.30578E+01    0.40286E+14
   6    0.24897E+12    0.26459E+10    0.26886E+01    0.46210E+14
