 0.25894E+12 0.10496E+10 0.00000E+00   510000    59207    8     9040 0.349E-07
   6    0.25707E+12    0.25391E+10    0.24988E+01    0.22711E+14
   7    0.25982E+12    0.20437E+10    0.28141E+01    0.11752E+15
   8    0.25908E+12    0.13960E+10    0.27263E+01    0.11009E+15
