 0.60280E+02 0.00000E+00 0.17191E+01  2040000   100000    9     8162 0.135E+03
   7    0.62304E+02    0.50812E+00    0.58356E+01    0.21892E+05
   8    0.61402E+02    0.37097E+00    0.61137E+01    0.89294E+05
   9    0.56573E+02    0.44035E+00    0.55695E+01    0.59163E+05
