 0.24931E+04 0.00000E+00 0.17694E+02  2040000    97206    8     2329 0.934E+00
   6    0.25071E+04    0.62176E+02    0.12548E+02    0.13267E+08
   7    0.24618E+04    0.25450E+02    0.73973E+01    0.23919E+07
   8    0.25135E+04    0.21904E+02    0.88183E+01    0.10333E+08
