 0.33234E+03 0.18065E+01 0.00000E+00  1022000    50765    9     7379 0.222E+02
   7    0.33065E+03    0.55983E+01    0.60574E+01    0.12608E+06
   8    0.33352E+03    0.34586E+01    0.52468E+01    0.79632E+05
   9    0.33210E+03    0.22886E+01    0.49310E+01    0.86622E+05
