 0.10239E-12 0.00000E+00 0.26495E-15  2032501   100000    9    25291 0.247E+18
   7    0.10278E-12    0.54426E-15    0.37889E+01    0.13465E-10
   8    0.10220E-12    0.38166E-15    0.37792E+01    0.14082E-10
   9    0.10238E-12    0.49973E-15    0.34927E+01    0.25302E-10
