 0.20476E+03 0.98539E+00 0.00000E+00  2040000   100000    8     7536 0.368E+02
   6    0.20181E+03    0.24242E+01    0.60776E+01    0.58779E+05
   7    0.20495E+03    0.21005E+01    0.73337E+01    0.56517E+06
   8    0.20546E+03    0.12567E+01    0.61894E+01    0.10891E+06
