 0.80627E+06 0.64051E+04 0.00000E+00  2040000   100000    8     2875 0.357E-02
   6    0.79955E+06    0.90672E+04    0.57378E+01    0.66059E+09
   7    0.84215E+06    0.19732E+05    0.16766E+02    0.70105E+10
   8    0.80564E+06    0.55528E+04    0.69746E+01    0.30367E+10
