 0.12754E+09 0.34250E+07 0.00000E+00   189000    11439    6      186 0.146E-05
   4    0.13945E+09    0.90044E+07    0.10003E+02    0.10946E+12
   5    0.12956E+09    0.53763E+07    0.90916E+01    0.11059E+12
   6    0.12399E+09    0.36832E+07    0.92036E+01    0.11345E+12
