 0.14648E+04 0.16081E+02 0.00000E+00   669313    66214    6     1927 0.132E+01
   4    0.15942E+04    0.80097E+02    0.15567E+02    0.35089E+07
   5    0.14541E+04    0.33847E+02    0.97617E+01    0.25576E+07
   6    0.14613E+04    0.15222E+02    0.61698E+01    0.11690E+07
