 0.20832E+03 0.00000E+00 0.18520E+04    15000       71    4        3 0.144E-01
   2    0.14449E+04    0.13856E+04    0.42884E+02    0.27700E+07
   3    0.11594E+02    0.74984E+01    0.40904E+02    0.29436E+05
   4    0.16942E+02    0.79254E+01    0.41840E+02    0.51530E+05
