 0.31228E+02 0.00000E+00 0.21099E+00  2040000    60877    8     6323 0.202E+03
   6    0.30429E+02    0.46975E+00    0.78110E+01    0.63478E+05
   7    0.31211E+02    0.29289E+00    0.67149E+01    0.13722E+05
   8    0.31386E+02    0.20959E+00    0.67574E+01    0.19864E+05
