 0.23855E+03 0.00000E+00 0.14189E+01  2040000    55477    8     5528 0.232E+02
   6    0.23841E+03    0.36415E+01    0.77282E+01    0.20456E+06
   7    0.23666E+03    0.26395E+01    0.79807E+01    0.27430E+06
   8    0.23955E+03    0.18974E+01    0.80151E+01    0.19776E+06
