 0.21756E+03 0.15388E+02 0.00000E+00   254000     6970    7      153 0.703E+00
   5    0.16263E+03    0.16108E+02    0.17718E+02    0.44267E+06
   6    0.20255E+03    0.12521E+02    0.15639E+02    0.58943E+06
   7    0.22620E+03    0.68094E+01    0.10770E+02    0.41595E+06
