 0.15767E+04 0.00000E+00 0.17505E+04    15000       30    4        9 0.571E-02
   2    0.30388E+04    0.21152E+04    0.31129E+02    0.40861E+07
   3    0.17564E+05    0.16520E+05    0.59486E+02    0.66039E+08
   4    0.59200E+03    0.12792E+03    0.19327E+02    0.73652E+06
