 0.39634E+12 0.15379E+10 0.00000E+00  1022000    74984    9    10387 0.262E-07
   7    0.39871E+12    0.41137E+10    0.36913E+01    0.11656E+15
   8    0.39398E+12    0.28801E+10    0.36988E+01    0.18350E+15
   9    0.39691E+12    0.20278E+10    0.36558E+01    0.21788E+15
