 0.35272E+12 0.23083E+10 0.00000E+00  1022000    64908    9     8870 0.251E-07
   7    0.36390E+12    0.53496E+10    0.52595E+01    0.43073E+15
   8    0.35083E+12    0.24812E+10    0.35783E+01    0.71186E+14
   9    0.35230E+12    0.19194E+10    0.38984E+01    0.26464E+15
