 0.29789E+12 0.17046E+10 0.00000E+00  1022000    67565    9     8615 0.289E-07
   7    0.30352E+12    0.38438E+10    0.45309E+01    0.29923E+15
   8    0.29959E+12    0.27481E+10    0.46412E+01    0.35828E+15
   9    0.29633E+12    0.15761E+10    0.38058E+01    0.26331E+15
