 0.43464E+12 0.31213E+10 0.00000E+00  1021169    76343    9     1963 0.452E-08
   7    0.43089E+12    0.26767E+11    0.22225E+02    0.31184E+16
   8    0.44156E+12    0.63507E+10    0.72770E+01    0.76761E+15
   9    0.43237E+12    0.36160E+10    0.59842E+01    0.11399E+16
