 0.30807E+12 0.00000E+00 0.84837E+10  2025978    61234    8     1675 0.544E-08
   6    0.30114E+12    0.17658E+11    0.29669E+02    0.22746E+16
   7    0.30298E+12    0.16720E+11    0.39488E+02    0.38263E+16
   8    0.31334E+12    0.11848E+11    0.38263E+02    0.53221E+16
